district,meeting_date,meeting_name,meeting_id,url
Taylor County School District,2021-07-01,2021-2022 Meeting Minutes,C5SP7Q623990,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C5SP7Q623990
Taylor County School District,2021-07-19,Workshop,C4QP746269D4,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C4QP746269D4
Taylor County School District,2021-07-20,"Regular School Board Meeting, Public Hearing and Executive Session",C4QNR26026DC,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C4QNR26026DC
Taylor County School District,2021-07-27,"Regular School Board Meeting, Public Hearing and Executive Session",C54RXE701E0E,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C54RXE701E0E
Taylor County School District,2021-08-10,Regular School Board Meeting and Executive Session,C5JQX9581133,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C5JQX9581133
Taylor County School District,2021-08-24,"Regular School Board Meeting, Public Hearing and Executive Session",C5YNP85EB4A3,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C5YNP85EB4A3
Taylor County School District,2021-09-07,"Regular School Board Meeting, Public Hearing and Executive Session",C6ENCN5C973E,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C6ENCN5C973E
Taylor County School District,2021-09-21,Regular School Board Meeting and Executive Session,C6UP2T624585,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C6UP2T624585
Taylor County School District,2021-10-05,"Legal Meeting, Regular School Board Meeting and Executive Session",C7APDF61635A,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C7APDF61635A
Taylor County School District,2021-10-19,"Legal Meeting, Regular School Board Meeting and Executive Session",C7QHMA491F6C,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C7QHMA491F6C
Taylor County School District,2021-10-25,Legal Meeting,C7ZLKN555DA5,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C7ZLKN555DA5
Taylor County School District,2021-11-02,Regular School Board Meeting and Executive Session,C85JZR4FA594,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C85JZR4FA594
Taylor County School District,2021-11-09,Legal Meeting and Regular School Board Meeting,C8EGR444F975,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C8EGR444F975
Taylor County School District,2021-11-16,"Organizational Meeting, Regular School Board Meeting, Public Hearing and Executive Session",C8LLXK572981,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C8LLXK572981
Taylor County School District,2021-12-14,"Regular School Board Meeting, Closed Hearing and Executive Session",C9GL3H548545,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C9GL3H548545
Taylor County School District,2022-01-18,"Workshop, Regular School Board Meeting, Public Hearing, Closed Hearing and Executive Session",CAKLPF55D27A,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CAKLPF55D27A
Taylor County School District,2022-02-01,"Regular School Board Meeting, Closed Hearing and Executive Session",CAZLDK55BC66,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CAZLDK55BC66
Taylor County School District,2022-02-15,"Workshop, Regular School Board Meeting and Executive Session",CBFKN352767D,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CBFKN352767D
Taylor County School District,2022-03-01,Regular School Board Meeting and Executive Session,CBVPFV63210B,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CBVPFV63210B
Taylor County School District,2022-03-15,"Legal Meeting, Regular School Board Meeting and Executive Session",CCBKUT537CA5,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CCBKUT537CA5
Taylor County School District,2022-04-05,"Regular School Board Meeting, Public Hearing and Executive Session",CCXPRH65DFE2,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CCXPRH65DFE2
Taylor County School District,2022-05-03,"Regular School Board Meeting, Public Hearing and Executive Session",CDQHRD49BC24,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CDQHRD49BC24
Taylor County School District,2022-05-17,Regular School Board Meeting and Executive Session,CEAK3R4EDD96,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CEAK3R4EDD96
Taylor County School District,2022-06-06,"Workshop, Regular School Board Meeting and Executive Session",CETGZE462638,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CETGZE462638
Taylor County School District,2022-06-21,Regular School Board Meeting and Executive Session,CFDKAJ4EC90C,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CFDKAJ4EC90C
Taylor County School District,2022-06-28,Special Board Meeting,CFSNHJ6004E2,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CFSNHJ6004E2
Taylor County School District,2022-07-01,2022-2023 Meeting Minutes,CH6PMZ643655,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CH6PMZ643655
Taylor County School District,2022-07-21,"Regular School Board Meeting, Public Hearing and Executive Session",CGBLKE566168,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CGBLKE566168
Taylor County School District,2022-07-26,"Regular School Board Meeting, Public Hearing, Closed Hearing and Executive Session",CGGR3V68EBA2,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CGGR3V68EBA2
Taylor County School District,2022-08-09,Regular School Board Meeting,CGWPHX649605,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CGWPHX649605
Taylor County School District,2022-08-23,"Regular School Board Meeting, Public Hearing and Executive Session",CHCP7Q6344EA,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CHCP7Q6344EA
Taylor County School District,2022-09-06,"Regular School Board Meeting, Public Hearing and Executive Session",CHSLFE561D6C,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CHSLFE561D6C
Taylor County School District,2022-09-20,Regular School Board Meeting and Executive Session,CJ8NXC620B78,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CJ8NXC620B78
Taylor County School District,2022-10-04,Regular School Board Meeting and Executive Session,CJNK274F6612,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CJNK274F6612
Taylor County School District,2022-10-18,Regular School Board Meeting and Executive Session,CK4J2V4B208B,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CK4J2V4B208B
Taylor County School District,2022-11-01,Regular School Board Meeting and Executive Session,CKJHWU4A8914,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CKJHWU4A8914
Taylor County School District,2022-11-22,Organizational Meeting,CL7QVH6A4D8D,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CL7QVH6A4D8D
Taylor County School District,2022-11-22,Regular School Board Meeting and Executive Session,CL7R2J6B8C95,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CL7R2J6B8C95
Taylor County School District,2022-12-08,Regular School Board Meeting and Executive Session,CLPKD3512DE1,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CLPKD3512DE1
Taylor County School District,2023-01-03,Regular School Board Meeting,CM6R3E6BA4B7,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CM6R3E6BA4B7
Taylor County School District,2023-01-17,Regular School Board Meeting,CMXR756C7BA4,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CMXR756C7BA4
Taylor County School District,2023-02-07,Regular School Board Meeting and Closed Hearing,CNLPXD66A349,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CNLPXD66A349
Taylor County School District,2023-02-21,Regular School Board Meeting and Executive Session,CP2KNF528904,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CP2KNF528904
Taylor County School District,2023-03-07,Regular School Board Meeting and Executive Session,CPGM955A187E,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CPGM955A187E
Taylor County School District,2023-03-21,Regular School Board Meeting,CPSKG551C0B1,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CPSKG551C0B1
Taylor County School District,2023-04-04,"Legal Meeting, Regular School Board Meeting and Executive Session",CQCKBH501DAC,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CQCKBH501DAC
Taylor County School District,2023-04-18,"Regular School Board Meeting, Executive Session and Closed Hearing",CQSTFE694FBB,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CQSTFE694FBB
Taylor County School District,2023-05-02,"Regular School Board Meeting, Public Hearing and Executive Session",CR8PR664E997,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CR8PR664E997
Taylor County School District,2023-05-16,Regular School Board Meeting and Executive Session,CRNPRE65DD23,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CRNPRE65DD23
Taylor County School District,2023-06-15,"Regular School Board Meeting, Public Hearing and Executive Session",CSLPKF64996F,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CSLPKF64996F
Taylor County School District,2023-06-27,"Regular School Board Meeting, Public Hearing and Executive Session",CSYRD4695C6B,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CSYRD4695C6B
Taylor County School District,2023-07-01,2023-2024 Meeting Minutes,CTWLZD58F7D8,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CTWLZD58F7D8
Taylor County School District,2023-07-18,Regular School Board Meeting and Executive Session,CTLHRN49C698,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CTLHRN49C698
Taylor County School District,2023-07-25,"Regular School Board Meeting, Public Hearing and Workshop",CTUQF96910CA,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CTUQF96910CA
Taylor County School District,2023-08-01,Regular School Board Meeting and Executive Session,CU3QDG68CDB5,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CU3QDG68CDB5
Taylor County School District,2023-08-04,Emergency School Board Meeting,CUCQJT67BE65,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CUCQJT67BE65
Taylor County School District,2023-08-15,"Workshop, Regular School Board Meeting and Executive Session",CUHNZC5ED93E,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CUHNZC5ED93E
Taylor County School District,2023-09-07,"Regular School Board Meeting, Public Hearing and Executive Session",CVDMQ35B47E5,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CVDMQ35B47E5
Taylor County School District,2023-09-19,Regular School Board Meeting and Executive Session,CVMGZB45F932,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CVMGZB45F932
Taylor County School District,2023-10-03,Regular School Board Meeting and Executive Session,CW2KP352884B,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CW2KP352884B
Taylor County School District,2023-10-24,"Regular School Board Meeting, Public Hearing and Executive Session",CWNPTE659F3D,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=CWNPTE659F3D
