district,meeting_date,source_type,url
Charlotte County Public Schools,2021-01-22,procurement_sole_source,data/raw/charlotte_2022_01_20/procurement/sole_source/2021-01-22_20_21-GG_2021-gg_sole_source_for_website.pdf
Charlotte County Public Schools,2021-02-09,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-02-09_BVGLSN572ABB_School_Board_Workshop.html
Charlotte County Public Schools,2021-02-09,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-02-09_BVGLTV573FD3_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2021-03-09,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-03-09_BVGM285892F0_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2021-05-11,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-05-11_BVGM9J596566_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2021-06-15,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-06-15_BVGMBX599AB2_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2021-07-17,procurement_sole_source,data/raw/charlotte_2022_01_20/procurement/sole_source/2021-07-17_21_22-L_2122-l_sole_source_for_website.pdf
Charlotte County Public Schools,2021-08-03,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-08-03_BVGMMN5A1313_School_Board_Workshop.html
Charlotte County Public Schools,2021-09-09,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-09-09_BVGMQC5A2D1F_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2021-10-12,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-10-12_BVGN3B5AE617_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2021-12-07,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2021-12-07_C75LB355B2E0_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2022-01-18,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2022-01-18_C8CKNA5122D7_School_Board_Workshop.html
Charlotte County Public Schools,2022-01-18,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2022-01-18_C8CL4B51CFB5_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2022-01-19,procurement_bid_award,data/raw/charlotte_2022_01_20/procurement/candidates/21_22-73GB_2122-73gb_award_letter.pdf
Citrus County School District,2020-07-22,board_agenda,data/raw/control_citrus/boarddocs/agendas/2020-07-22_BRPTLQ7362B8.html
Citrus County School District,2020-09-08,board_agenda,data/raw/control_citrus/boarddocs/agendas/2020-09-08_BQ8KFV51B777.html
Citrus County School District,2020-10-27,board_agenda,data/raw/control_citrus/boarddocs/agendas/2020-10-27_BT4KU7530FDF.html
Citrus County School District,2020-12-08,board_agenda,data/raw/control_citrus/boarddocs/agendas/2020-12-08_BT4L2C546C6F.html
Citrus County School District,2021-02-09,board_agenda,data/raw/control_citrus/boarddocs/agendas/2021-02-09_BT4LQ956CA12.html
Citrus County School District,2021-03-23,board_agenda,data/raw/control_citrus/boarddocs/agendas/2021-03-23_BXWKGX518351.html
Citrus County School District,2021-05-11,board_agenda,data/raw/control_citrus/boarddocs/agendas/2021-05-11_BT4LUS572844.html
Citrus County School District,2021-07-13,board_agenda,data/raw/control_citrus/boarddocs/agendas/2021-07-13_C2PSE96C2794.html
Citrus County School District,2021-08-24,board_agenda,data/raw/control_citrus/boarddocs/agendas/2021-08-24_C3CL8454AA8C.html
Citrus County School District,2021-10-12,board_agenda,data/raw/control_citrus/boarddocs/agendas/2021-10-12_C3CMGC5A97ED.html
Citrus County School District,2021-12-14,board_agenda,data/raw/control_citrus/boarddocs/agendas/2021-12-14_C3CMUN5BF390.html
Citrus County School District,2022-01-11,board_agenda,data/raw/control_citrus/boarddocs/agendas/2022-01-11_C3CMSV5BF020.html
